title,medium,composition_date,image,copies,bad_id,info,info_filename,virtual,virtual_objects
Portrait of George Romney,speng,5/1/1803,bbwba14.1.1.sp.100.jpg,bbwba14.1,bbwba14,"<p>In the final months of his three-year sojourn in Felpham, Blake began working on two sketches based on a painting of a shipwreck and a self-portrait by the artist George Romney. These were prepared as preliminary drawings for engravings to illustrate Hayley's biography of Romney. In a letter to John Flaxman of 7 August 1803, Hayley reveals that Blake had ""made two excellent drawings of Romney,"" one of which was after an unfinished self-portrait of Romney in Hayley's possession, before stating that he intends for both drawings to be ""engraved for a single quarto volume of [Romney's] Life"" (Bentley, <i>Records</i>, page 157). In the same letter, Hayley reveals that after some haggling with Blake over fees, they had agreed on a price of 40 guineas for a portrait engraving of Romney's self-portrait.</p><p>Shortly after he returned to London, Blake wrote to Hayley on 7 October 1803, stating ""I lose no moment to complete Romney to satisfaction"" (Erdman page 736). Over the next few weeks Blake made significant progress on the plate, informing Hayley on 26 October, ""I go on finishing Romney with spirit"" (Erdman page 738). In a letter to Hayley of 13 December, Blake implies that the plate was sufficiently finished for proofs to be taken: ""M<sup>r</sup> Romney[s] Portrait goes on with spirit. I do not send a proof because I cannot get one the Printers [<i>being</i>] &lt;having been this afternoon&gt; unable or unwilling &amp; my Press not yet being put up"" (Erdman page 739). By the beginning of May 1804, Blake had either assembled his own press or convinced the copperplate printer to pull a proof impression, which Blake showed to one of Romney's oldest friends, Adam Walker (Blake's letter to Hayley, 4 May 1804, Erdman page 748). On 22 June Blake offered Hayley another update, citing his former partner, James Parker, to emphasize the plate's quality: ""Head of Romney is in very great forwardness. Parker commends it highly. Flaxman has not yet seen it. but shall soon, &amp; then you shall have a Proof of it for your remarks also"" (Erdman page 753). On 16 July 1804 Blake finally sent Hayley a proof, ""still [in] an unfinishd state"" (Erdman page 753).</p><p>Blake continued to work on the portrait engraving during the second half of 1804. In his letter of 7 August, Blake describes working on ""Romneys Head"" with ""Spirit &amp; neatness."" In a letter to Hayley of 28 September, Blake promises a second proof of the engraving: ""You shall soon see a Proof of Him in a very advancd state. I have not yet proved it but shall soon when I will send you one"" (Erdman page 755). On 23 October Blake claims that he will soon send proofs of ""the Head of R"" and repeats this claim in his letter of 4 December (Erdman pages 756-57). Blake finally sent Hayley the second proof on 18 December and ten days later sent Hayley a letter commenting that ""I am very far from shewing the Portrait of Romney as a finishd Proof. be assured that with our Good Flaxmans good help &amp; with your remarks on it in addition I hope to make it a Supernaculum"" (Erdman pages 758-60). In a postscript, Blake reiterates his claim that the portrait engraving required more work: ""I made a very high finishd Drawing &lt;of Romney&gt; as a Companion to my &lt;drawings of the&gt; head of Cowper (you remember) with which Flaxman is very much satisfied &amp; says that when my Print is like that I need wish it no better, &amp; I am determind to make it so at least"" (Erdman page 760). Despite these assurances, Hayley did not include the engraving in his biography of Romney, not published until 1809. Only Blake's engraving of the shipwreck design appears in the book.</p><p>Blake's sketch for the Romney portrait engraving was auctioned at Sotheby's on 29 April 1862, lot 178, but has not been recorded since that sale. In his 1942 edition of Alexander Gilchrist's <i>Life of William Blake</i>, Ruthven Todd claims that a copy of the engraving was in the Rosenwald Collection. There is, however, no record of it in that collection, now divided between the National Gallery of Art, Washington, and the Library of Congress.  The only known impression, only recently discovered, is the example published here.</p>",bbwba14.info.xml,0,
The Song of Los,illbk,1795,s-los.a.p2.100.jpg,"s-los.c,s-los.b,s-los.a,s-los.e,s-los.d",s-los,"<p>The eight plates of <cite>The Song of Los</cite> were produced in 1795; all extant Copies (A-F) were color printed in that year in a single pressrun. Divided into sections entitled ""Africa"" and ""Asia,"" <cite>The Song of Los</cite> is the last of Blake's ""Continental Prophecies"" (see also <cite>America</cite> [1793] and <cite>Europe</cite> [1794]). Blake abandons direct references to contemporary events to pursue the junctures among biblical narrative, the origins of law and religion, and his own developing mythology. Adam, Noah, Socrates, Brama, Los, Urizen and many others represent both historical periods and states of consciousness. The loose narrative structure reaches towards a vision of universal history ending with apocalyptic resurrection.</p><p>Plates 1, 2, 5, and 8 (the frontispiece, title page, and two full-page designs) are color-printed drawings, executed and printed in the planographic manner of&mdash;and probably concurrent with&mdash;most of the twelve Large Color Printed Drawings of 1795, also in the Archive. Plates 3 and 4, which make up ""Africa,"" and Plates 6 and 7, which make up ""Asia,"" were executed first, side by side on two oblong pieces of copper (Plates 3/4, 6/7). Initially executed in this landscape format, the two columns of text of each section were transformed into two single-column vertical pages by printing the oblong plates with one side masked. In Copies C and E, Plates 5 and 8 are differently arranged: 8 follows Plate 1 and 5 is placed at the end in Copy C; 8 follows Plate 3 and 5 follows Plate 6 in Copy E. Both variant orders might be authorial, particularly the plate sequence of Copy E.</p>",s-los.info.xml,0,
"John Flaxman, Compositions From the Works Days and Theogony of Hesiod",comeng,1817,bb456.1.1.com.100.jpg,bb456.1,bb456,"<p>The thirty-seven plates of John Flaxman's illustrations to <i>The Works Days and Theogony of Hesiod</i> are one of Blake's major endeavors as a commercial etcher/engraver of designs by other artists.  Flaxman began to sketch designs based on Hesiod's poems in the early 1790s, but it was not until February 1816 that he entered into a contract with the publisher Longman &amp; Co. to ""furnish a series of Drawings to illustrate Hesiod"" (Bentley page 556).  Blake had already been commissioned to execute the plates, almost certainly on the recommendation of Flaxman, a friend of many years.  Inscriptions on a set of pre-publication proofs in the Bodleian Library indicate that Blake submitted impressions to Longman between November 1814 and October 1816; the project was completed by January 1817.  Blake, who received very few other engraving commissions during this period, was paid 5 guineas (Œ£5.5s.) for each plate, a total of Œ£194.5s. plus Œ£13.13s. as reimbursement for purchasing the copperplates (Longman's records, Bentley page 558).  Without the Hesiod project, Blake and his wife Catherine might have descended into dire poverty.</p><p>Blake executed the Hesiod illustrations in an unusual graphic style.  Rather than continuous outlines, found in the engravings of Flaxman's other classical compositions, Blake used stippled lines&mdash;that is, lines composed of dots.  It is surprising to see Blake, who wrote in a letter of 1827 that ""a Line is a Line in its Minutest Subdivision[s]"" (Erdman page 783), deploying a technique that divides lines into points.  Perhaps he was responding to the character of Flaxman's preliminary drawings, now untraced, upon which the etchings/engravings were based.  If these were in soft pencil, then stippled lines would be an appropriate equivalent.  It is also possible that Flaxman or his publisher directed Blake to use this style.</p><p>The texts accompanying the Hesiod designs were executed in continuous lines by a writing engraver named ""Jeffreys"" in Longman's accounts (Bentley page 557).  The quotations and paraphrases from Hesiod's poems are based on the second edition (1815) of <i>The Remains of Hesiod</i>, translated by Charles Abraham Elton. </p><p>Flaxman's classical compositions were influenced by, and often understood as recreations of, Greek and Etruscan vase paintings.  His illustrations of Homer's <i>Iliad</i> and <i>Odyssey</i> and of Dante's <i>Divine Comedy</i> were published, or at least engraved, in 1793.  They soon became famous and highly influential throughout Europe.  These were followed by designs for the tragedies of Aeschylus in 1795 and Blake's Hesiod engravings in 1817.  Blake also contributed three plates to the 1805 revised publication of the <i>Iliad</i> illustrations.  The Hesiod plates were frequently reprinted and included in <i>The Classical Compositions of John Flaxman</i> of 1870.  The publisher, Bell and Daldy, reportedly sold the copperplates as scrap metal in 1917 (Ruthven Todd, ""Blake's Dante Plates,"" <i>Times Literary Supplement</i>, 29 August 1968, page 928).</p>",bb456.info.xml,0,
"Illustrations to Milton's ""Comus"", The Thomas Set",wc,1801,but527.1.1.wc.100.jpg,but527.1,but527,"<p>The poetry of John Milton was important to Blake as both poet and artist from his earliest years.  As he told John Flaxman in a letter of 12 September 1800, ""Milton lovd me in childhood &amp; shewd me his face"" (Erdman page 707).  Several early drawings, such as the <i>Satan, Sin, and Death</i> of c. 1780 (Butlin 101), were probably inspired by Milton.  In 1790-92, Blake loosely sketched several illustrations to <i>Paradise Lost</i> in his Notebook (Butlin 201; see Related Works, below).  He composed his first series of water colors illustrating one of Milton's poems in 1801 when the Rev. Joseph Thomas commissioned the eight designs for <i>Comus</i> (Butlin 527) presented here.  This commission and its date are established by John Flaxman's comment in a postscript to Blake in a letter to William Hayley of 31 July 1801: ""The Revd. Joseph Thomas of Epsom desires you will at your leisure, make a few sketches of the same size  [as each other], which maybe any size you please from Milton's Comus for Five Guineas"" (Butlin volume 1, page 373).  Thomas later acquired (very probably on commission) a set of twelve water color illustrations to <i>Paradise Lost</i> in 1807 (Butlin 529) and six water colors illustrating ""On the Morning of Christ's Nativity"" in 1809  (Butlin 538).  In about 1815, Blake produced another set of <i>Comus</i> designs for his patron Thomas Butts (Butlin 528).  This later group pictures the same eight subjects, but with many significant differences in motifs and in the positions and portrayals of characters from the poem.</p><p>Here, as usual in his work as an illustrator of other poets' works, Blake paid close attention to the text, but this disciplined approach did not preclude his own interpretations.  For example, Milton ends his masque with joyous dance and song, but Blake ends his illustrations on a more serious note, as indicated by the facial expressions of all six figures.  The selection of passages to illustrate in itself reveals Blake's emphasis on unusual states of consciousness, including trances and visions.</p><p>Blake's literary response to the life and works of John Milton finds its fullest expression in the illuminated book <i>Milton a Poem</i>.</p>",but527.info.xml,0,
Visions of the Daughters of Albion,illbk,1793,vda.b.p2.100.jpg,"vda.a,vda.a-proof,vda.c,vda.e,vda.f,vda.g,vda.h,vda.i,vda.j,vda.b,vda.o,vda.p",vda,"<p>Oothoon, the central figure in the poem, plucks the ""flower"" of female sexuality but is soon raped by Bromion. Her lover, Theotormon, responds with silence or useless abstractions. This slender plot is but a thread on which Blake hangs Oothoon's questionings of conventional morality. She insists on her inner purity and, in a long concluding lament to the ""Daughters of Albion,"" on the varieties of energetic self-expression that cannot be delimited by materialist philosophies or legalistic codes. The characters and their words represent Blake's critique of colonialism, slavery, sexual repression, and attitudes towards women in his day.</p><p>The eleven plates of <cite>Visions</cite> were etched in relief, with slight touches of white-line work, and first printed in 1793.  This printing produced twelve copies: proof Copy A (black ink, Plates 1-2 and the designs only of Plates 3, 7, 9-10), B and C (raw sienna ink), A, D, and E (yellow ochre ink), and H-M (green ink).  There were only three later printings: 1794 (color-printed Copies F and R), 1795 (large-paper Copy G and possibly untraced Copy Q), and 1818 (Copies N-P).</p>",vda.info.xml,0,
"Edward Young, Night Thoughts",comb,1797,bb515.1.1.com.100.jpg,"bb515.1,bb515.2",bb515,"<p>Although there are no extant documentary records of the contract, it was probably in late 1794 or early 1795 that the publisher Richard Edwards commissioned Blake to illustrate a new, deluxe edition of Edward Young's long meditative poem, <i>The Complaint, and the Consolation; or, Night Thoughts</i>, first published in 1742-45 and generally known by the short title of <i>Night Thoughts</i>.  This was the largest commercial project for which Blake was ever employed.  With what must have been enormous energy, he executed 537 water colors (Butlin 330.1-537) illustrating the poem's nine sections, which Young called ""Nights.""  Edwards began the project by having the pages from the first and second editions of the poem glued into windows cut into large leaves of Whatman wove paper. These text pages were positioned slightly off-center so as to create a lower margin greater than the upper and an outer margin greater than the inner, as in most letterpress books.  Blake filled these large marginal spaces with his designs&mdash;a format retained in the published engravings with the letterpress text of the poem printed in a central framed panel.  Blake was paid the paltry sum of twenty guineas for his water colors, presumably because he expected to receive a great deal more for the engravings.</p><p>Although all the water colors may not have been completed by the spring of 1796, Blake began at that time to etch and engrave a selection of forty-three designs illustrating the first four Nights.  These were published in 1797 as the first of four intended large quarto volumes.  The registration of the plates to the sheets of paper, which were barely large enough to accommodate the engravings, was frequently poor, with the result that even untrimmed copies of the book are missing small marginal areas of some of the designs and/or the imprints and Blake's monogram signatures in the lower margins.  Before any further volumes could be produced, Edwards closed his publishing business.  Blake's disappointment must have been profound.  The failure of the <i>Night Thoughts</i> project may have been one of the reasons why Blake decided, in 1800, to move from London to the village of Felpham on the Sussex coast and place himself under the patronage of William Hayley.</p><p>Most of the water colors bear a cross or star to the left of the line (or first line of the passage) illustrated.  This procedure was continued, somewhat irregularly, through the use of asterisks in the published volume.  In some cases, the line preceded by an asterisk in the engravings is not the same as in the corresponding water colors.  Many copies of the 1797 volume contain a two-page ""Explanation of the Engravings,"" possibly written by Blake's friend and fellow-artist Henry Fuseli.  The texts of these commentaries are included in the Editors' Notes for each plate.</p><p>While Blake based his designs closely on the text, many of the images are based on personifications or metaphors in the poem.  This approach tends to literalize what is only a figure of speech in the text, thereby confounding conventional distinctions between the literal and the metaphoric.  Further, Blake drew heavily on his own repertory of motifs and postures when illustrating Young, and thus there are many parallels between the <i>Night Thoughts</i> designs and the pictures in Blake's illuminated books.  The influence of the <i>Night Thoughts</i> project on Blake's writings is most directly evinced by his division of his long manuscript poem, <i>Vala</i> or <i>The Four Zoas</i> (Bentley 209), into nine Nights.  That manuscript also contains forty-seven pre-publication proofs of the <i>Night Thoughts</i> engravings, with lines of <i>The Four Zoas</i> written in the text panels.  A further group of twenty-four proofs is now in the Houghton Library, Harvard University.</p><p>Copy 1 presented here is uncolored; Copy 2 is one of at least twenty-seven copies with contemporary or near-contemporary hand coloring.  The colorist or colorists have never been convincingly identified.  The same palette appears to have been used for most copies, but the placement of the colors varies somewhat among copies.  Such variation is not characteristic of the commercial hand coloring of the late eighteenth century in which a model is followed very closely.  Some scholars have divided the colored copies into two styles, one dated to c. 1797 and the other to c. 1805.  There are, however, colors common to the palettes of these two styles.  Two copies (Yale Center for British Art and Houghton Library, Harvard University) bear early inscriptions attributing their coloring to Blake; a copy in the Library of Congress has a pencil inscription attributing its coloring to Blake's wife Catherine.  Five copies bear J C (or possibly H) monograms that would seem to relate to their coloring.</p>",bb515.info.xml,0,
"Mary Wollstonecraft, Original Stories from Real Life",comb,"1791, 1796",bb514.3.1.com.100.jpg,"bb514.3,bb514.2",bb514,"<p>In 1788, Joseph Johnson published the first edition of Mary Wollstonecraft's morally instructive narrative for children, <i>Original Stories from Real Life; with Conversations, Calculated to Regulate the Affections, and Form the Mind to Truth and Goodness</i>.  A few years later, Johnson decided to issue a new edition, for which he commissioned Blake to prepare a series of illustrations.  He executed at least eleven monochrome drawings (ten extant, Butlin 244), from which Johnson selected six to be engraved by Blake for publication in the 1791 edition.  The preliminary drawing for Plate 5 is untraced.  Two states of the plates appear variously in copies of the 1791 edition; a third state appears in the 1796 edition.  For descriptions of the states, see the Editors' Notes to the plates in both copies published in the Archive.  </p><p>Modern interpreters of the illustrations for <i>Original Stories</i> have detected a pictorial critique of Wollstonecraft's stories.  Blake appears to have found her morality too calculating, rationalistic, and rigid.  He represents Wollstonecraft's spokesperson, Mrs. Mason, as a domineering presence.  From Blake's perspective, Mason's acts of charity are excessively condescending and tend to reinforce the underlying social conditions that create disparities between wealth and poverty.  As Blake wrote in ""The Human Abstract,"" ""Pity would be no more, / If we did not make somebody Poor"" (Erdman page 27).</p>",bb514.info.xml,0,
The Book of Los,illbk,1795,b-los.a.p2.100.jpg,b-los.a,b-los,"<p>The poem opens with a lamentation by ""Eno aged Mother"" over the loss of Edenic pleasures through Urizenic error and the world it creates. The narrative then centers on Los's anguished responses to that world, including his transformation of the void into matter and his binding of Urizen.</p><p>The five plates of <cite>The Book of Los</cite> were etched in intaglio and printed in 1795. There is only one complete copy (A), plus a separate impression of Plate 4. The designs on Plates 1-3 and 5 were color printed from the surfaces of copperplates bearing only etched outlines of the pictorial motifs.</p>",b-los.info.xml,0,
The Ghost of Abel,illbk,1822,abel.a.p1.100.jpg,abel.a,abel,"<p>This brief drama addressed to Lord Byron, whose <cite>Cain, a Mystery</cite> appeared in 1821, treats the themes of revenge, atonement, forgiveness, and self-annihilation through the reactions of Adam, Eve, Satan, and Jehovah to the first murder. The two plates of the work were etched in relief in 1822; all Copies (A-E) were printed in the same year. Copy E consists only of Plate 1.</p>",abel.info.xml,0,
All Religions are One,illbk,c. 1788,aro.a.p1.100.jpg,aro.a,aro,"<p>Through aphoristic declarations and accompanying emblem-like designs, Blake argues for the essential unity of all religions as expressions of the ""Poetic Genius"" within all human beings. As the quoted phrase suggests, <cite>All Religions are One</cite> implies the unity of the artistic and religious imagination. Several of the numbered ""Principle[s],"" the term used as a heading to each text plate, assert a causal connection between inner spirit and outer body. Because of shared graphic styles, themes, and genre, <cite>All Religions are One</cite> is closely associated with <cite>There is No Natural Religion</cite> of the same year.</p><p>Blake etched the work on ten small plates c. 1788. There is only one known copy (A), now in the Henry E. Huntington Library and Art Gallery. This copy, lacking the title page now in the Keynes Collection, Fitzwilliam Museum, was printed (with some touches of rudimentary color printing) as a large-paper copy in 1795. Some years later, probably in 1818 or later, Blake returned to these impressions and drew between four and six framing lines in black ink around each plate. The pen and ink work in the designs may have been executed at this same late date. There is one further example of the title page, produced in a different printing and with hand coloring, in the Victoria and Albert Museum.</p>",aro.info.xml,0,
The Pastorals of Virgil,comb,1821,bb504.2.5.com.100.jpg,bb504.2,bb504,"<p>When planning a third edition of his successful school text, <cite>The Pastorals of Virgil</cite>, Robert John Thornton employed Blake to contribute some of the new designs for the two-volume work.  Among his many other endeavors, Thornton was the physician for Blake's patron John Linnell, who probably played a key role in securing the commission.  Blake's assignment was to illustrate Ambrose Philips' English ""imitation"" of Virgil's first eclogue.</p><p>Blake first produced four small designs (the same designs reproduced here as Object 6) as relief etchings on a single copperplate, but this was rejected by Thornton.  There may have been several reasons, including the unconventional style of etching, the semi-nudity of some of the figures, and the difficulties letterpress printers would have encountered with such an unusual matrix.  Apparently Blake was asked to prepare wood engravings, a medium in which he had never before worked, instead of relief etchings.  He executed a series of at least twenty-one pen, pencil, and wash drawings; these were probably approved by Thornton.  The wood engravings that Blake produced from them, however, were far less conventional.  Thornton was again taken aback by Blake's bold transgression of contemporary styles and sensibilities.  Several influential artists, including Linnell and Sir Thomas Lawrence, commended Blake's work; their opinions convinced Thornton to print them in his 1821 edition (Objects 5-8, 10).  Three designs (Object 9) were engraved by a journeyman for the sake of comparison with Blake's own productions in wood, and Thornton added a statement below Blake's first design (Object 5) implying his own hesitations about Blake's artistry.  Pre-publication proofs of Blake's wood engravings show that each group of four were cut on a single block; these were cut apart, slightly reduced in size on all four sides, and printed with brief letterpress captions.  This format, as published in Thornton's Virgil, is preserved in our reproductions.</p><p>In addition to his original wood engravings, Blake contributed six copperplate intaglio engravings picturing famous classical figures (Objects 1-4, 12, 13).  He also executed a reduced drawing, perhaps directly on the woodblock, based on a painting by Nicolas Poussin.  This was cut in the block by John Byfield (Object 11).  All these materials are included in our reproductions.</p><p>Twenty of Blake's preliminary drawings, all executed in monochrome wash, were sold at auction from the Linnell collection in 1918.  These are now widely dispersed; seven are untraced and one drawing in the group (Butlin 769.4) was not engraved.  The present ownership of each drawing is given in the Editors' Notes for the relevant wood engravings (Objects 6-10).  Blake's original woodblocks are in the British Museum.</p><p>Although small in size and almost rejected by the man who commissioned them, Blake's Virgil wood engravings have been among his most influential works.  The young artists who gathered around Blake in his final years, including Samuel Palmer, George Richmond, and Edward Calvert, were deeply inspired by the Virgil engravings.  Palmer called them ""visions of little dells, and nooks, and corners of Paradise""&mdash;an encomium that ignores the darker implications of some designs.  Several twentieth-century British artists, including Graham Sutherland, were also influenced by Blake's wood engravings.</p>",bb504.info.xml,0,
"William Hayley, The Life of George Romney",comeng,1809,bb469.1.1.com.100.jpg,bb469.1,bb469,"<p>Published in 1809, William Hayley's biography of his close friend, the artist George Romney, contains 12 plates bearing the inscription Œ‚Published April 14th."" Blake engraved only one of these plates, ""Sketch of a Shipwreck after Romney,"" usually placed facing page 84.</p><p>Blake first produced a drawing after Romney's now lost painting, <i>A Shipwreck at the Cape of Good Hope</i>, which depicts a horseman named Woltemad rescuing survivors. According to Blake's letter to Hayley of 22 June 1804, Flaxman had suggested that this painting should be engraved for Hayley's <i>Life of Romney</i> (Erdman pages 752-53). Blake sent Hayley the preparatory drawing with his letter of 16 July 1804 (Erdman page 753) and, in an untraced letter from Hayley, received permission to begin the engraving. Blake spent the rest of the year working sporadically on the print and keeping Hayley regularly updated on his progress. In his letter of 7 August 1804, Blake informs his patron that he is working on the engraving and in his letter of 28 September 1804 states that he will soon send Hayley a proof (Erdman pages 754-55). He makes similar statements on 23 October and 4 December, before finally sending a proof with his letter to Hayley of 18 December 1804 (Edman pages 756-58).</p><p>In addition to ""Sketch of a Shipwreck after Romney,"" Blake produced a portrait engraving of Romney for Hayley's biography. Although Blake finished (or almost finished) the plate, Hayley did not include it in the published work. A recently discovered impression is available in the Archive under Separate Prints and Prints in Series, Engraved by Blake After Designs by Other Artists.</p>",bb469.info.xml,0,
"William Hayley, The Life, and Posthumous Writings, of William Cowper",comeng,1803,bb468.1.1.com.100.jpg,bb468.1,bb468,"<p>William Hayley's three-volume biography of his friend and fellow poet, William Cowper, was an immediate success when published and did much to established Cowper's reputation as a man of letters. The first two volumes were published in 1803 and the third the following year. The work contains six plates, all signed by Blake as the engraver. Blake also signed one plate, known as ""The Weather House"" (Object 4) as the designer, although the roundel in the lower portion of the design picturing three hares was probably based on a design by George Romney. Blake's work on these engravings was scrutinized by members of Hayley's circle, notably Cowper's cousin, Lady Harriet Hesketh, and their criticisms may have led to some of the friction that appears in Blake's relationship with Hayley from 1801 onward.</p><p>The plates for Hayley's biography of Cowper constitute one of the first commissions Blake worked on during his three-year sojourn on the West Sussex coast. In a letter to Thomas Butts of 11 September 1801, Blake states that his ""Principal labour at this time is Engraving Plates for Cowpers Life"" (Erdman page 716). Writing to his brother James two years later, on 30 January 1803, Blake states that his wife Catherine ""has undertaken to Print the whole number of the Plates for [the first two volumes of] Cowpers work"" (Erdman page 726). </p><p>Blake made two drawings of Cowper after Romney's portrait of the poet.  These were the basis for two miniature paintings of Cowper and the portrait engraving that is the frontispiece for Hayley's biography (Object 1). There are also four drawings of the designs for Cowper's funeral monument that Blake produced at Hayley's request in 1802.  The first two drawings are Hayley's first idea for the monument and were sent to John Flaxman who was commissioned to sculpt the monument. The third drawing revises Hayley's first idea and was the basis from Flaxman's finished monument as well as Blake's engraving, which was published in the third volume of Hayley's biography (Object 6). Blake made two drawings of this second idea, presumably one for Flaxman to sculpt and the other for Blake to engrave.</p>",bb468.info.xml,0,
"William Hayley, An Essay on Sculpture",comeng,1800,bb467.1.1.com.100.jpg,bb467.1,bb467,"<p>Published in 1800 and dedicated to John Flaxman, Hayley's verse epistle celebrating sculpture as one of the sister arts contains three plates, two of which are signed by Blake.  Epistolary evidence indicates that Blake was responsible for the unsigned plate.</p><p>By the end of 1799, Hayley was hurrying to prepare the poem for publication before the death of his terminally ill son, Thomas Alphonso Hayley. In a letter to Flaxman of 21 December, Hayley states ""I wish to have only the two following Decorations, if you approve them&mdash;a Frontispiece &amp; a vignette at the close&mdash;the first from poor Toms outline of Demosthenes at the base of Neptunes Statue . . . &amp; a neat small Head, as a closing vignette, from your medallion of the dear disciple [Thomas Hayley]"" (Bentley, <i>Records</i> page 85). In January 1800, Blake had been commissioned to execute these engravings (Objects 2 and 3), probably through the recommendation of Flaxman. In addition, Blake engraved the bust of Pericles after a drawing by Tom Hayley that became the frontispieces in the published work.  With his letter of 1 April 1800, Blake sent Hayley a proof of the medallion of Tom Hayley (Erdman page 705). On 17 April, Hayley responded with some criticisms of the proof and, after his son's death on 2 May, invited Blake to Felpham to complete the engraving (Bentley, <i>Records</i> pages 87-88, 90). </p><p>Blake spent at least three weeks working beside Hayley in Felpham during July 1800. He completed both a half-length drawing of Thomas Alphonso and the engraving of the medallion portrait (Object 3). Later that year, after Blake had relocated to Sussex, he painted a series of 18 portrait heads to decorate Hayley's library, including portraits of Thomas Alphonso and Demosthenes.</p>",bb467.info.xml,0,
"William Hayley, Designs to a Series of Ballads",comb,1802,bb466.2.1.com.100.jpg,bb466.2,bb466,"<p>While Blake was resident in Felpham on the Sussex coast, his new patron William Hayley began to write a series of ballads to be illustrated by the artist-engraver.  These were published in 1802 as quarto numbers, each with three engravings by Blake.  As the general title page indicates, the poems all deal with ""Anecdotes Relating to Animals.""  In his ""Preface,"" Hayley states that his plan was to issue one ballad a month, ""and to complete the whole series in fifteen Numbers.""  The letterpress text was printed by the Chichester printer Joseph Seagrave; the plates were printed by Blake and his wife Catherine on their own rolling press.  Although two book dealers, P. Humphry and R. H. Evans, were selected to sell the ballads, most copies seem to have been sold by Hayley to his friends.  Sales were less than brisk and the project ceased after only four ballads were issued.  Blake designed and executed twelve plates, including a frontispiece for the general title page and a tailpiece to the ""Preface,"" both issued with the first ballad.  Two further plates were engraved by Blake after designs on antique gems (Plates 5 and 11).</p><p>The London bookseller Richard Phillips published an octavo edition of fifteen ballads by Hayley in 1805.  For this volume, Blake engraved new plates of his designs for three of the ballads first published in 1802 and both designed and engraved new illustrations for two of the additional ballads.</p>",bb466.info.xml,0,
"William Hayley, Ballads ... Relating to Animals",comb,1805,bb465.2.1.com.100.jpg,bb465.2,bb465,"<p>While Blake was resident in Felpham on the Sussex coast, his new patron William Hayley began to write a series of ballads to be illustrated by the artist-engraver.  These were published in 1802 as quarto numbers, each with three engravings by Blake.  As the general title page indicates, the poems all deal with ""Anecdotes Relating to Animals.""  Sales were less than brisk and the project ceased after only four ballads were issued.  In January 1805, Hayley contacted the London bookseller Richard Phillips about publishing a new, octavo edition of the ballads.  Blake began to execute engravings for this edition no later than March and completed five plates by June.  For this 1805 volume, Hayley added twelve ballads to the four first published in 1802.  Blake engraved new plates of his designs for three of the 1802 ballads (plates 1-3) and both designed and engraved new illustrations for two of the additional ballads (plates 4-5).  Blake and Phillips were to ""go equal shares í_ in the expense and the profits"" (Blake's letter to Hayley of 22 January 1805, Erdman page 763).  Robert Southey's mocking review of Hayley's poems and Blake's illustration to ""The Dog"" (Plate 1) appeared in the <i>Annual Review</i> for 1805.</p>",bb465.info.xml,0,
"Drawings for ""The Pastorals of Virgil""",mono,1820,but769.1.1.wd.100.jpg,but769.1,but769,"<p>When planning a third edition of his successful school text, <i>The Pastorals of Virgil</i>, Robert John Thornton employed Blake to contribute some of the new designs for the two-volume work.  Among his many other endeavors, Thornton was the physician for Blake's patron John Linnell, who probably played a key role in securing the commission.  Blake's assignment was to illustrate Ambrose Philips' English ""imitation"" of Virgil's first eclogue.</p><p>Blake first produced four small designs as relief etchings on a single copperplate, but this was rejected by Thornton.  There may have been several reasons, including the unconventional style of etching, the semi-nudity of some of the figures, and the difficulties letterpress printers would have encountered with such an unusual matrix.  Apparently Blake was asked to prepare wood engravings, a medium in which he had never before worked, instead of relief etchings.  He executed a series of at least twenty-one pen, pencil, and wash drawings; these were probably approved by Thornton.  The wood engravings that Blake produced from them, however, were far less conventional.  Thornton was again taken aback by Blake's bold transgression of contemporary styles and sensibilities.  Several influential artists, including Linnell and Sir Thomas Lawrence, commended Blake's work; their opinions convinced Thornton to print them in his 1821 edition.  Three designs were engraved by a journeyman for the sake of comparison with Blake's own productions in wood, and Thornton added a statement below Blake's first design implying his own hesitations about Blake's artistry.</p><p>We present here a selection of Blake's preliminary drawings.  Twenty of these were sold at auction from the Linnell collection in 1918.  These are now widely dispersed.  The present ownership of each drawing reproduced here is recorded on the Work Information page.  Seven drawings are untraced and one drawing in the Linnell group (Butlin 769.4) was not engraved.  Blake almost certainly executed a preliminary drawing for his first wood engraving, but none has ever been recorded.</p>",but769.info.xml,0,
